,id,int_id,airport_int_id,active,code,icao,name,slug,slug_en,alternative_names,rank,global_rank_dst,dst_popularity_score,timezone,city,location,alternative_departure_points,tags,providers,special,tourist_region,car_rentals,new_ground,routing_priority,type,lat,lon
0,LCG,9626,9626,True,LCG,LECO,A Coruña,a-coruna-a-coruna-spain-1,a-coruna-a-coruna-spain-1,['Aeropuerto de La Coruña'],429,172,134378.0,Europe/Madrid,"{'id': 'a-coruna_es', 'name': 'A Coruña', 'code': 'LCG', 'slug': 'a-coruna-spain', 'nearby_country': None, 'country': {'id': 'ES', 'name': 'Spain', 'slug': 'spain', 'code': 'ES'}, 'region': {'id': 'southern-europe', 'name': 'Southern Europe', 'slug': 'southern-europe'}, 'subdivision': None, 'continent': {'id': 'europe', 'name': 'Europe', 'slug': 'europe', 'code': 'EU'}, 'autonomous_territory': None}","{'lat': 43.302222, 'lon': -8.377222}","[{'id': 'VGO', 'distance': 156.24, 'duration': 6426.7}, {'id': 'ES-BETA-BIBL', 'distance': 18.91, 'duration': 1061.5}, {'id': 'ES-BETA-CIDA', 'distance': 18.98, 'duration': 1093.4}, {'id': 'OVD', 'distance': 245.97, 'duration': 10245.5}, {'id': 'ES-MINO-TRAI', 'distance': 24.77, 'duration': 1306.7}, {'id': 'ES-CABA-AREA', 'distance': 32.88, 'duration': 1616.3}, {'id': 'ES-PONT-TRAI', 'distance': 34.28, 'duration': 1727.7}, {'id': 'ES-FENE-PERL', 'distance': 40.37, 'duration': 1995.7}, {'id': 'ES-GUIT-BUSS', 'distance': 49.55, 'duration': 2278.9}, {'id': 'SCQ', 'distance': 61.55, 'duration': 2942.8}, {'id': '4NU', 'distance': 9.16, 'duration': 799.1}, {'id': 'YJC', 'distance': 9.36, 'duration': 759.8}]","[{'tag': 'sightseeing', 'month_to': -1, 'month_from': -1}, {'tag': 'family fun', 'month_to': -1, 'month_from': -1}, {'tag': 'beach', 'month_to': -1, 'month_from': -1}]","[1175, 1179, 1225]","[{'id': 'santiago-de-compostela_poi', 'name': 'Santiago De Compostela', 'slug': 'santiago-de-compostela'}]","[{'id': 'artabro-gulf_poi', 'name': 'Artabro Gulf', 'slug': 'artabro-gulf'}, {'id': 'green-spain_poi', 'name': 'Green Spain', 'slug': 'green-spain'}, {'id': 'galicia_poi', 'name': 'Galicia', 'slug': 'galicia'}, {'id': 'the-english-route_poi', 'name': 'The English Route', 'slug': 'the-english-route'}]","[{'provider_id': 1175, 'providers_locations': ['164789']}]",False,0,airport,43.302222,-8.377222
1,AAL,2213,2213,True,AAL,EKYT,Aalborg,aalborg-aalborg-denmark,aalborg-aalborg-denmark,['Aalborg Lufthavn'],450,193,52370.0,Europe/Copenhagen,"{'id': 'aalborg_dk', 'name': 'Aalborg', 'code': 'AAL', 'slug': 'aalborg-denmark', 'nearby_country': None, 'country': {'id': 'DK', 'name': 'Denmark', 'slug': 'denmark', 'code': 'DK'}, 'region': {'id': 'northern-europe', 'name': 'Northern Europe', 'slug': 'northern-europe'}, 'subdivision': None, 'continent': {'id': 'europe', 'name': 'Europe', 'slug': 'europe', 'code': 'EU'}, 'autonomous_territory': None}","{'lat': 57.092778, 'lon': 9.849167}","[{'id': 'ZGX', 'distance': 102.56, 'duration': 5183.3}, {'id': 'BYR', 'distance': 103.76, 'duration': 9491.5}, {'id': 'ZKN', 'distance': 107.08, 'duration': 5843.1}, {'id': 'ZAW', 'distance': 114.89, 'duration': 6809.8}, {'id': 'ZTG', 'distance': 12.1, 'duration': 1208.9}, {'id': 'KRP', 'distance': 133.92, 'duration': 7516.9}, {'id': 'ZID', 'distance': 135.43, 'duration': 5845.1}, {'id': 'AAR', 'distance': 145.1, 'duration': 6740.1}, {'id': 'ZRY', 'distance': 152.55, 'duration': 8082.3}, {'id': 'QWO', 'distance': 154.35, 'duration': 8150}, {'id': 'XAH', 'distance': 167.24, 'duration': 6919.6}, {'id': 'ZIL', 'distance': 175.52, 'duration': 7183.4}, {'id': 'XVX', 'distance': 197.78, 'duration': 7971.9}, {'id': 'BLL', 'distance': 222.15, 'duration': 9348.8}, {'id': 'ZBJ', 'distance': 223.33, 'duration': 9108.4}, {'id': 'ZBT', 'distance': 224.16, 'duration': 9035.8}]","[{'tag': 'sightseeing', 'month_to': -1, 'month_from': -1}, {'tag': 'events', 'month_to': -1, 'month_from': -1}]",[1277],"[{'id': 'hisingen_poi', 'name': 'Hisingen', 'slug': 'hisingen'}, {'id': 'vendsyssel-thy_poi', 'name': 'Vendsyssel-Thy', 'slug': 'vendsyssel-thy'}]",[],[],False,0,airport,57.092778,9.849167
2,AAR,2221,2221,True,AAR,EKAH,Aarhus,aarhus-aarhus-denmark,aarhus-aarhus-denmark,['Aarhus Lufthavn'],461,226,50022.0,Europe/Copenhagen,"{'id': 'aarhus_dk', 'name': 'Aarhus', 'code': 'AAR', 'slug': 'aarhus-denmark', 'nearby_country': None, 'country': {'id': 'DK', 'name': 'Denmark', 'slug': 'denmark', 'code': 'DK'}, 'region': {'id': 'northern-europe', 'name': 'Northern Europe', 'slug': 'northern-europe'}, 'subdivision': None, 'continent': {'id': 'europe', 'name': 'Europe', 'slug': 'europe', 'code': 'EU'}, 'autonomous_territory': None}","{'lat': 56.303889, 'lon': 10.619444}","[{'id': 'KRP', 'distance': 123.2, 'duration': 6208.2}, {'id': 'BLL', 'distance': 138.76, 'duration': 6224.1}, {'id': 'CPH', 'distance': 190.44, 'duration': 10514.7}, {'id': 'EBJ', 'distance': 197.28, 'duration': 7735.8}, {'id': 'SGD', 'distance': 239.13, 'duration': 9496.3}, {'id': 'ZID', 'distance': 41.71, 'duration': 2399.7}, {'id': 'DK-AARH-AARH', 'distance': 42.11, 'duration': 2431.7}, {'id': 'DK-RAND-RAND', 'distance': 45.96, 'duration': 2801.5}]","[{'tag': 'sightseeing', 'month_to': -1, 'month_from': -1}, {'tag': 'beach', 'month_to': -1, 'month_from': -1}]","[1175, 1277]","[{'id': 'louisiana-museum-of-modern-art_poi', 'name': 'Louisiana Museum of Modern Art', 'slug': 'louisiana-museum-of-modern-art'}, {'id': 'funen_poi', 'name': 'Funen', 'slug': 'funen'}, {'id': 'vendsyssel-thy_poi', 'name': 'Vendsyssel-Thy', 'slug': 'vendsyssel-thy'}, {'id': 'foteviken-viking_poi', 'name': 'Foteviken Viking', 'slug': 'foteviken-viking'}, {'id': 'zealand_poi', 'name': 'Zealand', 'slug': 'zealand'}, {'id': 'amager_poi', 'name': 'Amager', 'slug': 'amager'}]",[],"[{'provider_id': 1175, 'providers_locations': ['304277']}]",False,0,airport,56.303889,10.619444
3,BJA,6683,6683,True,BJA,DAAE,Abane Ramdane,abane-ramdane-bejaia-algeria,abane-ramdane-bejaia-algeria,['مطار بجاية الدولي - عبان رمضان'],1301,357,48218.0,Africa/Algiers,"{'id': 'bejaia_dz', 'name': 'Béjaïa', 'code': 'BJA', 'slug': 'bejaia-algeria', 'nearby_country': None, 'country': {'id': 'DZ', 'name': 'Algeria', 'slug': 'algeria', 'code': 'DZ'}, 'region': {'id': 'northern-africa', 'name': 'Northern Africa', 'slug': 'northern-africa'}, 'subdivision': None, 'continent': {'id': 'africa', 'name': 'Africa', 'slug': 'africa', 'code': 'AF'}, 'autonomous_territory': None}","{'lat': 36.711944, 'lon': 5.07}","[{'id': 'GJL', 'distance': 105.46, 'duration': 5877.7}, {'id': 'QSF', 'distance': 115.1, 'duration': 6525.9}, {'id': 'BLJ', 'distance': 222.24, 'duration': 11474.1}, {'id': 'ALG', 'distance': 231.88, 'duration': 12284.7}, {'id': 'CZL', 'distance': 236.74, 'duration': 11272.3}]","[{'tag': 'activities', 'month_to': -1, 'month_from': -1}, {'tag': 'city break', 'month_to': -1, 'month_from': -1}]",[],[],"[{'id': 'bejaia_poi', 'name': 'Bejaia', 'slug': 'bejaia'}]",[],False,0,airport,36.711944,5.07
4,TID,4894,4894,True,TID,DAOB,Abdelhafid Boussouf Bou Chekif,abdelhafid-boussouf-bou-chekif-tiaret-algeria,abdelhafid-boussouf-bou-chekif-tiaret-algeria,[],2048,1198,278.0,Africa/Algiers,"{'id': 'tiaret_dz', 'name': 'Tiaret', 'code': 'TID', 'slug': 'tiaret-algeria', 'nearby_country': None, 'country': {'id': 'DZ', 'name': 'Algeria', 'slug': 'algeria', 'code': 'DZ'}, 'region': {'id': 'northern-africa', 'name': 'Northern Africa', 'slug': 'northern-africa'}, 'subdivision': None, 'continent': {'id': 'africa', 'name': 'Africa', 'slug': 'africa', 'code': 'AF'}, 'autonomous_territory': None}","{'lat': 35.341667, 'lon': 1.466944}","[{'id': 'CFK', 'distance': 152.72, 'duration': 10614.4}, {'id': 'EBH', 'distance': 214.08, 'duration': 13356.8}, {'id': 'ORN', 'distance': 242.15, 'duration': 13688.6}]",[],[],[],[],[],False,0,airport,35.341667,1.466944
5,ABZ,7019,7019,True,ABZ,EGPD,Aberdeen,aberdeen-aberdeen-united-kingdom,aberdeen-aberdeen-united-kingdom,[],429,179,128133.0,Europe/London,"{'id': 'aberdeen_gb', 'name': 'Aberdeen', 'code': 'ABZ', 'slug': 'aberdeen-united-kingdom', 'nearby_country': None, 'country': {'id': 'GB', 'name': 'United Kingdom', 'slug': 'united-kingdom', 'code': 'GB'}, 'region': {'id': 'northern-europe', 'name': 'Northern Europe', 'slug': 'northern-europe'}, 'subdivision': None, 'continent': {'id': 'europe', 'name': 'Europe', 'slug': 'europe', 'code': 'EU'}, 'autonomous_territory': None}","{'lat': 57.204167, 'lon': -2.200278}","[{'id': 'DND', 'distance': 117.22, 'duration': 5318.1}, {'id': 'INV', 'distance': 148.43, 'duration': 7668.2}, {'id': 'EDI', 'distance': 192.02, 'duration': 8725.8}]","[{'tag': 'beach', 'month_to': -1, 'month_from': -1}, {'tag': 'sightseeing', 'month_to': -1, 'month_from': -1}]","[1165, 1175, 1277, 1283, 1284]","[{'id': 'edinburgh-castle_poi', 'name': 'Edinburgh Castle', 'slug': 'edinburgh-castle'}, {'id': 'stirling_poi', 'name': 'Stirling', 'slug': 'stirling'}, {'id': 'kelvingrove-art-gallery-and-museum_poi', 'name': 'Kelvingrove Art Gallery & Museum', 'slug': 'kelvingrove-art-gallery-and-museum'}, {'id': 'edinburgh-royal-mile_poi', 'name': 'Edinburgh Royal Mile', 'slug': 'edinburgh-royal-mile'}]","[{'id': 'aberdeenshire_poi', 'name': 'Aberdeenshire', 'slug': 'aberdeenshire'}, {'id': 'grampian_poi', 'name': 'Grampian', 'slug': 'grampian'}]","[{'provider_id': 1175, 'providers_locations': ['164424']}]",False,0,airport,57.204167,-2.200278
6,PSR,423,423,True,PSR,LIBP,Abruzzo,abruzzo-pescara-italy,abruzzo-pescara-italy,['Aeroporto di Pescara'],581,231,64031.0,Europe/Rome,"{'id': 'pescara_it', 'name': 'Pescara', 'code': 'PSR', 'slug': 'pescara-italy', 'nearby_country': None, 'country': {'id': 'IT', 'name': 'Italy', 'slug': 'italy', 'code': 'IT'}, 'region': {'id': 'southern-europe', 'name': 'Southern Europe', 'slug': 'southern-europe'}, 'subdivision': None, 'continent': {'id': 'europe', 'name': 'Europe', 'slug': 'europe', 'code': 'EU'}, 'autonomous_territory': None}","{'lat': 42.431667, 'lon': 14.186667}","[{'id': 'IT-MONT-TRAI', 'distance': 13.04, 'duration': 1027.8}, {'id': 'IT-MONT-CITT', 'distance': 14.61, 'duration': 1118.9}, {'id': 'AOI', 'distance': 177.7, 'duration': 6804.3}, {'id': 'FOG', 'distance': 188.96, 'duration': 7513.8}, {'id': 'CIA', 'distance': 210.19, 'duration': 8140.4}, {'id': 'FCO', 'distance': 237.24, 'duration': 9243.1}, {'id': 'NAP', 'distance': 241.66, 'duration': 11697.1}, {'id': 'IT-ORTO-TRAI', 'distance': 34.53, 'duration': 1890.6}, {'id': '2VE', 'distance': 5.82, 'duration': 609.2}, {'id': 'IT-CHIE-TRA0', 'distance': 9.66, 'duration': 787.6}]","[{'tag': 'sightseeing', 'month_to': -1, 'month_from': -1}, {'tag': 'nightlife', 'month_to': -1, 'month_from': -1}, {'tag': 'beach', 'month_to': -1, 'month_from': -1}]","[1171, 1175, 1277, 1329]","[{'id': 'pantheon_poi', 'name': 'Pantheon', 'slug': 'pantheon'}, {'id': 'colosseum_poi', 'name': 'Colosseum', 'slug': 'colosseum'}, {'id': 'vatican-museum_poi', 'name': 'Vatican Museum', 'slug': 'vatican-museum'}, {'id': 'st-peter-s-basilica-vatican_poi', 'name': ""St. Peter's Basilica, Vatican"", 'slug': 'st-peter-s-basilica'}]","[{'id': 'abruzzo_poi', 'name': 'Abruzzo', 'slug': 'abruzzo'}, {'id': 'abruzzo-coast_poi', 'name': 'Abruzzo Coast', 'slug': 'abruzzo-coast'}]","[{'provider_id': 1175, 'providers_locations': ['4101763', '4419317']}]",False,0,airport,42.431667,14.186667
7,ADA,7966,7966,True,ADA,LTAF,Adana Şakirpaşa,adana-sakirpasa-adana-turkey,adana-sakirpasa-adana-turkey,['Şakirpaşa Havalimanı'],269,141,203697.0,Europe/Istanbul,"{'id': 'adana_tr', 'name': 'Adana', 'code': 'ADA', 'slug': 'adana-turkey', 'nearby_country': None, 'country': {'id': 'TR', 'name': 'Turkey', 'slug': 'turkey', 'code': 'TR'}, 'region': {'id': 'western-asia', 'name': 'Western Asia', 'slug': 'western-asia'}, 'subdivision': None, 'continent': {'id': 'asia', 'name': 'Asia', 'slug': 'asia', 'code': 'AS'}, 'autonomous_territory': None}","{'lat': 36.982222, 'lon': 35.280278}","[{'id': 'HTY', 'distance': 178.96, 'duration': 7708.6}, {'id': 'KCM', 'distance': 203.58, 'duration': 8766.2}, {'id': 'GZT', 'distance': 246.18, 'duration': 10348.8}]","[{'tag': 'sightseeing', 'month_to': -1, 'month_from': -1}, {'tag': 'culture', 'month_to': -1, 'month_from': -1}, {'tag': 'beach', 'month_to': -1, 'month_from': -1}]",[1175],[],[],"[{'provider_id': 1175, 'providers_locations': ['4436454']}]",False,0,airport,36.982222,35.280278
8,ADF,7961,7961,True,ADF,LTCP,Adıyaman,adiyaman-adiyaman-turkey,adiyaman-adiyaman-turkey,['Adıyaman Havalimanı'],1512,677,5249.0,Europe/Istanbul,"{'id': 'adiyaman_tr', 'name': 'Adıyaman', 'code': 'ADF', 'slug': 'adiyaman-turkey', 'nearby_country': None, 'country': {'id': 'TR', 'name': 'Turkey', 'slug': 'turkey', 'code': 'TR'}, 'region': {'id': 'western-asia', 'name': 'Western Asia', 'slug': 'western-asia'}, 'subdivision': None, 'continent': {'id': 'asia', 'name': 'Asia', 'slug': 'asia', 'code': 'AS'}, 'autonomous_territory': None}","{'lat': 37.731389, 'lon': 38.468889}","[{'id': 'GNY', 'distance': 149.05, 'duration': 7009.2}, {'id': 'MLX', 'distance': 164.78, 'duration': 8927}, {'id': 'KCM', 'distance': 179.36, 'duration': 8056.5}, {'id': 'GZT', 'distance': 187.32, 'duration': 8716.9}, {'id': 'DIY', 'distance': 192.92, 'duration': 9613.3}, {'id': 'EZS', 'distance': 208.6, 'duration': 12524.2}]","[{'tag': 'sightseeing', 'month_to': -1, 'month_from': -1}]",[],[],"[{'id': 'south-eastern-anatolia-region_poi', 'name': 'South Eastern Anatolia Region', 'slug': 'south-eastern-anatolia-region'}]",[],False,0,airport,37.731389,38.468889
9,ADB,7965,7965,True,ADB,LTBJ,Adnan Menderes,adnan-menderes-izmir-turkey,adnan-menderes-izmir-turkey,['Adnan Menderes Havalimanı'],176,64,562424.0,Europe/Istanbul,"{'id': 'izmir_tr', 'name': 'İzmir', 'code': 'IZM', 'slug': 'izmir-turkey', 'nearby_country': None, 'country': {'id': 'TR', 'name': 'Turkey', 'slug': 'turkey', 'code': 'TR'}, 'region': {'id': 'western-asia', 'name': 'Western Asia', 'slug': 'western-asia'}, 'subdivision': None, 'continent': {'id': 'asia', 'name': 'Asia', 'slug': 'asia', 'code': 'AS'}, 'autonomous_territory': None}","{'lat': 38.2925, 'lon': 27.156944}","[{'id': 'JKH', 'distance': 116.77, 'duration': 7251.4}, {'id': 'BJV', 'distance': 184.33, 'duration': 9381.6}, {'id': 'EDO', 'distance': 212.83, 'duration': 9560.3}, {'id': 'JIK', 'distance': 215.79, 'duration': 73596.3}, {'id': 'MJT', 'distance': 216.89, 'duration': 14325.4}, {'id': 'SMI', 'distance': 232.33, 'duration': 67964.1}]","[{'tag': 'culture', 'month_to': -1, 'month_from': -1}, {'tag': 'sightseeing', 'month_to': -1, 'month_from': -1}]","[1175, 1277, 1282]","[{'id': 'pamukkale_poi', 'name': 'Pamukkale', 'slug': 'pamukkale'}, {'id': 'ephesus_poi', 'name': 'Ephesus', 'slug': 'ephesus'}]","[{'id': 'aegean-region_poi', 'name': 'Aegean Region', 'slug': 'aegean-region'}, {'id': 'mediterranean_poi', 'name': 'Mediterranean', 'slug': 'mediterranean'}]","[{'provider_id': 1175, 'providers_locations': ['498728', '762468', '4436472']}]",False,0,airport,38.2925,27.156944
